nct,interv,int_type,intervn,cnt1_int,cnt2_int_type
NCT00145600,Drug: 12 Week Stanford V Chemotherapy,Drug, 12 Week Stanford V Chemotherapy,4,4
NCT00145600,Drug: 4 cycles of VAMP chemotherapy,Drug, 4 cycles of VAMP chemotherapy,4,4
NCT00145600,Drug: 2 alternating cycles of VAMP/COP chemotherapy,Drug, 2 alternating cycles of VAMP/COP chemotherapy,4,4
NCT00145600,Drug: 3 alternating cycles of VAMP/COP chemotherapy,Drug, 3 alternating cycles of VAMP/COP chemotherapy,4,4
NCT00145626,Drug: Chemotherapy and antibodies,Drug, Chemotherapy and antibodies,3,1
NCT00145626,Device: Miltenyi Biotec CliniMACS,Device, Miltenyi Biotec CliniMACS,3,1
NCT00145626,Procedure: Allogeneic stem cell transplantation,Procedure, Allogeneic stem cell transplantation,3,1
NCT00145704,Drug: bisphosphonate therapy (risedronate),Drug, bisphosphonate therapy (risedronate),3,1
NCT00145704,Dietary Supplement: Vitamin D supplement,Dietary Supplement, Vitamin D supplement,3,2
NCT00145704,Dietary Supplement: Calcium,Dietary Supplement, Calcium,3,2
NCT00145795,Drug: Kaletra + Current Dual NRTI Backbone,Drug, Kaletra + Current Dual NRTI Backbone,2,2
NCT00145795,Drug: Current Regimen,Drug, Current Regimen,2,2
NCT00146328,Drug: Tipranavir,Drug, Tipranavir,1,1
NCT00147199,Drug: Inhaled treprostinil,Drug, Inhaled treprostinil,2,2
NCT00147199,Drug: Placebo inhalation solution,Drug, Placebo inhalation solution,2,2
NCT00147212,Drug: ET 743,Drug, ET 743,1,1
NCT00147225,Drug: AMG 531,Drug, AMG 531,4,4
NCT00147225,Drug: Carboplatin,Drug, Carboplatin,4,4
NCT00147225,Drug: Adriamycin,Drug, Adriamycin,4,4
NCT00147225,Drug: Ifosfamide,Drug, Ifosfamide,4,4
NCT00147238,Drug: Ferumoxtran-10 (USPIO),Drug, Ferumoxtran-10 (USPIO),2,1
NCT00147238,Procedure: MR lymphangiography,Procedure, MR lymphangiography,2,1
NCT00147316,Drug: Alteplase,Drug, Alteplase,1,1
NCT00147498,"Drug: CP-690,550",Drug," CP-690,550",4,3
NCT00147498,"Drug: CP-690,550",Drug," CP-690,550",4,3
NCT00147498,"Drug: CP-690,550",Drug," CP-690,550",4,3
NCT00147498,Other: Placebo,Other, Placebo,4,1
NCT00147537,"Drug: CP-751,871",Drug," CP-751,871",7,7
NCT00147537,Drug: paclitaxel,Drug, paclitaxel,7,7
NCT00147537,Drug: carboplatin,Drug, carboplatin,7,7
NCT00147537,"Drug: CP-751,871",Drug," CP-751,871",7,7
NCT00147537,Drug: paclitaxel,Drug, paclitaxel,7,7
NCT00147537,Drug: carboplatin,Drug, carboplatin,7,7
NCT00147537,Drug: erlotinib,Drug, erlotinib,7,7
NCT00147745,Drug: Colesevelam,Drug, Colesevelam,3,3
NCT00147745,Drug: Colesevelam matching placebo,Drug, Colesevelam matching placebo,3,3
NCT00147745,Drug: Insulin glargine (Lantus),Drug, Insulin glargine (Lantus),3,3
NCT00147966,Drug: rituximab,Drug, rituximab,1,1
NCT00148109,Drug: Cetuximab,Drug, Cetuximab,2,2
NCT00148109,Drug: Cetuximab,Drug, Cetuximab,2,2
NCT00148122,Drug: Docetaxel,Drug, Docetaxel,2,2
NCT00148122,Drug: Capecitabine,Drug, Capecitabine,2,2
NCT00148668,Drug: Herceptin,Drug, Herceptin,4,4
NCT00148668,Drug: Navelbine,Drug, Navelbine,4,4
NCT00148668,Drug: Taxotere,Drug, Taxotere,4,4
NCT00148668,Drug: Carboplatin,Drug, Carboplatin,4,4
NCT00148733,Drug: Zinc,Drug, Zinc,1,1
NCT00148759,Drug: LPV/r,Drug, LPV/r,1,1
NCT00148798,Drug: cetuximab + cisplatin + vinorelbine,Drug, cetuximab + cisplatin + vinorelbine,2,2
NCT00148798,Drug: cisplatin + vinorelbine,Drug, cisplatin + vinorelbine,2,2
NCT00149214,Drug: pemetrexed,Drug, pemetrexed,4,4
NCT00149214,Drug: cyclophosphamide,Drug, cyclophosphamide,4,4
NCT00149214,Drug: doxorubicin,Drug, doxorubicin,4,4
NCT00149214,Drug: docetaxel,Drug, docetaxel,4,4
NCT00149227,Drug: Valsartan,Drug, Valsartan,2,2
NCT00149227,Drug: Non-ARB,Drug, Non-ARB,2,2
NCT00149630,Drug: Disulfiram,Drug, Disulfiram,4,2
NCT00149630,Drug: Methadone,Drug, Methadone,4,2
NCT00149630,Behavioral: CBT,Behavioral, CBT,4,1
NCT00149630,Other: Lactose,Other, Lactose,4,1
NCT00149643,Drug: Fluoxetine,Drug, Fluoxetine,2,1
NCT00149643,Other: Placebo,Other, Placebo,2,1
NCT00149799,Drug: Escitalopram,Drug, Escitalopram,2,2
NCT00149799,Drug: Placebo,Drug, Placebo,2,2
NCT00149825,Drug: Escitalopram,Drug, Escitalopram,3,1
NCT00149825,Behavioral: CBTI,Behavioral, CBTI,3,2
NCT00149825,Behavioral: CTRL,Behavioral, CTRL,3,2
NCT00149890,Drug: Basiliximab,Drug, Basiliximab,3,3
NCT00149890,Drug: Cyclosporine/cyclosporine microemulsion,Drug, Cyclosporine/cyclosporine microemulsion,3,3
NCT00149890,Drug: Steroid,Drug, Steroid,3,3
NCT00149994,Drug: Cyclosporine A,Drug, Cyclosporine A,5,5
NCT00149994,Drug: Tacrolimus,Drug, Tacrolimus,5,5
NCT00149994,Drug: Basiliximab,Drug, Basiliximab,5,5
NCT00149994,Drug: Methylprednisolone,Drug, Methylprednisolone,5,5
NCT00149994,Drug: Prednisone,Drug, Prednisone,5,5
NCT00150176,Drug: Asenapine - Open Label,Drug, Asenapine - Open Label,3,3
NCT00150176,Drug: Placebo - Double Blind,Drug, Placebo - Double Blind,3,3
NCT00150176,Drug: Asenapine - Double Blind,Drug, Asenapine - Double Blind,3,3
NCT00150345,Drug: voriconazole (Vfend),Drug, voriconazole (Vfend),2,2
NCT00150345,Drug: voriconazole (Vfend),Drug, voriconazole (Vfend),2,2
NCT00150462,Drug: Carfilzomib,Drug, Carfilzomib,2,2
NCT00150462,Drug: Dexamethasone,Drug, Dexamethasone,2,2
NCT00150592,Drug: SPD503 (Guanfacine HCl),Drug, SPD503 (Guanfacine HCl),2,2
NCT00150592,Drug: Placebo,Drug, Placebo,2,2
NCT00150618,Drug: SPD503 (1 mg),Drug, SPD503 (1 mg),5,5
NCT00150618,Drug: SPD503 (2 mg),Drug, SPD503 (2 mg),5,5
NCT00150618,Drug: SPD503 (3 mg),Drug, SPD503 (3 mg),5,5
NCT00150618,Drug: SPD503 (4 mg),Drug, SPD503 (4 mg),5,5
NCT00150618,Drug: Placebo,Drug, Placebo,5,5
NCT00151411,Drug: Metformin,Drug, Metformin,2,2
NCT00151411,Drug: Placebo,Drug, Placebo,2,2
NCT00151775,Drug: olmesartan medoxomil,Drug, olmesartan medoxomil,3,3
NCT00151775,Drug: placebo,Drug, placebo,3,3
NCT00151775,Drug: olmesartan medoxomil,Drug, olmesartan medoxomil,3,3
NCT00151814,Drug: Olmesartan medoxomil,Drug, Olmesartan medoxomil,1,1
NCT00151892,Drug: SPD476,Drug, SPD476,2,2
NCT00151892,Drug: Asacol,Drug, Asacol,2,2
NCT00151996,Drug: Methylphenidate + SPD503 (Guanfacine hydrochloride),Drug, Methylphenidate + SPD503 (Guanfacine hydrochloride),2,2
NCT00151996,Drug: Amphetamine + SPD503,Drug, Amphetamine + SPD503,2,2
NCT00152009,Drug: SPD503 (Guanfacine hydrochloride) (2 mg),Drug, SPD503 (Guanfacine hydrochloride) (2 mg),4,4
NCT00152009,Drug: SPD503 (3 mg),Drug, SPD503 (3 mg),4,4
NCT00152009,Drug: SPD503 (4 mg),Drug, SPD503 (4 mg),4,4
NCT00152009,Drug: Placebo,Drug, Placebo,4,4
NCT00152516,Drug: levetiracetam (LEV),Drug, levetiracetam (LEV),1,1
NCT00152971,Drug: Dabigatran Dose 1 - day 2 to completion,Drug, Dabigatran Dose 1 - day 2 to completion,5,5
NCT00152971,Drug: Dabigatran Dose 1 - day 1,Drug, Dabigatran Dose 1 - day 1,5,5
NCT00152971,Drug: Dabigatran Dose 2 - day 2 to completion,Drug, Dabigatran Dose 2 - day 2 to completion,5,5
NCT00152971,Drug: Dabigatran Dose 2 - day 1,Drug, Dabigatran Dose 2 - day 1,5,5
NCT00152971,Drug: Enoxaparin,Drug, Enoxaparin,5,5
NCT00153062,Drug: Aggrenox,Drug, Aggrenox,12,12
NCT00153062,Drug: Aggrenox,Drug, Aggrenox,12,12
NCT00153062,Drug: Clopidogrel placebo,Drug, Clopidogrel placebo,12,12
NCT00153062,Drug: Clopidogrel placebo,Drug, Clopidogrel placebo,12,12
NCT00153062,Drug: Micardis,Drug, Micardis,12,12
NCT00153062,Drug: Micardis,Drug, Micardis,12,12
NCT00153062,Drug: Aggrenox placebo,Drug, Aggrenox placebo,12,12
NCT00153062,Drug: Aggrenox placebo,Drug, Aggrenox placebo,12,12
NCT00153062,Drug: Clopidogrel,Drug, Clopidogrel,12,12
NCT00153062,Drug: Clopidogrel,Drug, Clopidogrel,12,12
NCT00153062,Drug: Micardis placebo,Drug, Micardis placebo,12,12
NCT00153062,Drug: Micardis placebo,Drug, Micardis placebo,12,12
NCT00153101,Drug: Telmisartan,Drug, Telmisartan,3,3
NCT00153101,Drug: Combination of Telmisartan and Ramipril,Drug, Combination of Telmisartan and Ramipril,3,3
NCT00153101,Drug: Ramipril,Drug, Ramipril,3,3
NCT00153166,Drug: atorvastatin and pioglitazone,Drug, atorvastatin and pioglitazone,4,4
NCT00153166,Drug: atorvastatin/placebo,Drug, atorvastatin/placebo,4,4
NCT00153166,Drug: pioglitazone/placebo,Drug, pioglitazone/placebo,4,4
NCT00153166,Drug: placebo/placebo,Drug, placebo/placebo,4,4
NCT00153179,Drug: acipimox,Drug, acipimox,2,2
NCT00153179,Drug: placebo,Drug, placebo,2,2
NCT00153816,Drug: Calcium Carbonate,Drug, Calcium Carbonate,3,3
NCT00153816,Drug: Vitamin D3,Drug, Vitamin D3,3,3
NCT00153816,Drug: placebo,Drug, placebo,3,3
NCT00153920,Drug: bortezomib,Drug, bortezomib,1,1
NCT00153985,Drug: Busulfex,Drug, Busulfex,4,3
NCT00153985,Drug: Fludarabine,Drug, Fludarabine,4,3
NCT00153985,Drug: Alemtuzumab,Drug, Alemtuzumab,4,3
NCT00153985,Procedure: Stem Cell Transfusion,Procedure, Stem Cell Transfusion,4,1
NCT00154063,Drug: E2007,Drug, E2007,2,1
NCT00154063,Other: Placebo,Other, Placebo,2,1
NCT00154102,Drug: Cetuximab,Drug, Cetuximab,2,2
NCT00154102,"Drug: FOLFIRI (5-Fluorouracil, Folinic acid, Irinotecan)",Drug," FOLFIRI (5-Fluorouracil, Folinic acid, Irinotecan)",2,2
NCT00154284,Drug: Everolimus (Certican),Drug, Everolimus (Certican),4,4
NCT00154284,Drug: Cyclosporine (Neoral),Drug, Cyclosporine (Neoral),4,4
NCT00154284,Drug: Steroid,Drug, Steroid,4,4
NCT00154284,Drug: Basiliximab (Simulect),Drug, Basiliximab (Simulect),4,4
NCT00154297,Drug: Everolimus (RAD001),Drug, Everolimus (RAD001),1,1
NCT00154310,Drug: Everolimus,Drug, Everolimus,4,4
NCT00154310,Drug: Cyclosporine,Drug, Cyclosporine,4,4
NCT00154310,Drug: Enteric-coated mycophenolate sodium,Drug, Enteric-coated mycophenolate sodium,4,4
NCT00154310,Drug: Corticosteroids,Drug, Corticosteroids,4,4
NCT00154375,Drug: Imatinib mesylate,Drug, Imatinib mesylate,2,2
NCT00154375,Drug: Hydroxyurea,Drug, Hydroxyurea,2,2
NCT00156013,Drug: CLOFARABINE,Drug, CLOFARABINE,1,1
NCT00156065,Drug: Haloperidol,Drug, Haloperidol,3,3
NCT00156065,Drug: Asenapine,Drug, Asenapine,3,3
NCT00156065,Drug: Asenapine,Drug, Asenapine,3,3
NCT00156247,Drug: acitretin,Drug, acitretin,1,1
NCT00156533,Drug: Zolpidem,Drug, Zolpidem,2,2
NCT00156533,Drug: Sugar Pill,Drug, Sugar Pill,2,2
NCT00156715,Drug: Quetiapine,Drug, Quetiapine,1,1
NCT00156819,Drug: fluticasone,Drug, fluticasone,3,3
NCT00156819,Drug: montelukast,Drug, montelukast,3,3
NCT00156819,Drug: Fluticasone plus salmeterol,Drug, Fluticasone plus salmeterol,3,3
NCT00156923,Drug: Medisorb naltrexone 380 mg,Drug, Medisorb naltrexone 380 mg,2,2
NCT00156923,Drug: Medisorb naltrexone 190 mg,Drug, Medisorb naltrexone 190 mg,2,2
NCT00156936,Drug: Medisorb naltrexone 380 mg,Drug, Medisorb naltrexone 380 mg,2,2
NCT00156936,Drug: Oral naltrexone to Medisorb naltrexone 380 mg,Drug, Oral naltrexone to Medisorb naltrexone 380 mg,2,2
NCT00157014,Drug: Tacrolimus,Drug, Tacrolimus,5,5
NCT00157014,Drug: Cyclosporine,Drug, Cyclosporine,5,5
NCT00157014,Drug: Mycophenolate mofetil,Drug, Mycophenolate mofetil,5,5
NCT00157014,Drug: Methylprednisolone,Drug, Methylprednisolone,5,5
NCT00157014,Drug: Prednisone,Drug, Prednisone,5,5
NCT00157196,Biological: Tecemotide (L-BLP25),Biological, Tecemotide (L-BLP25),3,1
NCT00157196,Drug: Single low dose cyclophosphamide,Drug, Single low dose cyclophosphamide,3,1
NCT00157196,Other: Best standard of care (BSC),Other, Best standard of care (BSC),3,1
NCT00157209,Biological: Tecemotide (L-BLP25),Biological, Tecemotide (L-BLP25),3,1
NCT00157209,Drug: Single low dose cyclophosphamide,Drug, Single low dose cyclophosphamide,3,1
NCT00157209,Other: Best Supportive Care (BSC),Other, Best Supportive Care (BSC),3,1
NCT00157248,Drug: dabigatran etexilate,Drug, dabigatran etexilate,4,4
NCT00157248,Drug: dabigatran etexilate,Drug, dabigatran etexilate,4,4
NCT00157248,Drug: dabigatran etexilate,Drug, dabigatran etexilate,4,4
NCT00157248,Drug: dabigatran etexilate,Drug, dabigatran etexilate,4,4
NCT00158223,Drug: Pimozide,Drug, Pimozide,2,2
NCT00158223,Drug: Placebo,Drug, Placebo,2,2
NCT00158249,Drug: citicoline,Drug, citicoline,2,2
NCT00158249,Drug: placebo,Drug, placebo,2,2
NCT00158600,Biological: alglucosidase alfa,Biological, alglucosidase alfa,2,1
NCT00158600,Drug: Placebo,Drug, Placebo,2,1
NCT00158743,Drug: Anti-digoxin antibody (FAB fragment),Drug, Anti-digoxin antibody (FAB fragment),2,1
NCT00158743,Other: sodium chloride,Other, sodium chloride,2,1
NCT00159432,Drug: Oxaliplatin,Drug, Oxaliplatin,3,3
NCT00159432,Drug: Bevacizumab,Drug, Bevacizumab,3,3
NCT00159432,Drug: Capecitabine,Drug, Capecitabine,3,3
NCT00159783,Drug: asenapine,Drug, asenapine,2,2
NCT00159783,Drug: Olanzapine,Drug, Olanzapine,2,2
NCT00159822,Drug: Voriconazole,Drug, Voriconazole,1,1
NCT00159861,Drug: Sildenafil citrate,Drug, Sildenafil citrate,1,1
NCT00159874,Drug: Sildenafil citrate,Drug, Sildenafil citrate,3,3
NCT00159874,Drug: Sildenafil citrate,Drug, Sildenafil citrate,3,3
NCT00159874,Drug: Sildenafil citrate,Drug, Sildenafil citrate,3,3
NCT00159913,Drug: Sildenafil citrate,Drug, Sildenafil citrate,4,4
NCT00159913,Drug: Sildenafil citrate,Drug, Sildenafil citrate,4,4
NCT00159913,Drug: Placebo,Drug, Placebo,4,4
NCT00159913,Drug: Sildenafil citrate,Drug, Sildenafil citrate,4,4
NCT00159965,Drug: sertraline,Drug, sertraline,2,2
NCT00159965,Drug: placebo,Drug, placebo,2,2
NCT00160199,Drug: PROMETRIUM® 300 mg,Drug, PROMETRIUM® 300 mg,2,2
NCT00160199,Drug: PROMETRIUM® 400 mg,Drug, PROMETRIUM® 400 mg,2,2
NCT00160251,Drug: Boceprevir (BOC),Drug, Boceprevir (BOC),3,2
NCT00160251,Biological: PegIntron (PEG),Biological, PegIntron (PEG),3,1
NCT00160251,Drug: Ribavirin (RBV),Drug, Ribavirin (RBV),3,2
NCT00160563,Drug: LEVOCETIRIZINE,Drug, LEVOCETIRIZINE,2,1
NCT00160563,Other: Placebo,Other, Placebo,2,1
NCT00161213,Drug: gemcitabine hydrochloride,Drug, gemcitabine hydrochloride,2,2
NCT00161213,Drug: imatinib mesylate,Drug, imatinib mesylate,2,2
NCT00161473,Drug: prazosin,Drug, prazosin,2,2
NCT00161473,Drug: placebo (inert substance),Drug, placebo (inert substance),2,2
NCT00161616,Drug: InductOs,Drug, InductOs,1,1
NCT00162032,Drug: Sestamibi,Drug, Sestamibi,1,1
NCT00162097,Drug: efavirenz containing antiretroviral regimen,Drug, efavirenz containing antiretroviral regimen,4,4
NCT00162097,Drug: efavirenz containing antiretroviral regimen,Drug, efavirenz containing antiretroviral regimen,4,4
NCT00162097,Drug: efavirenz containing antiretroviral regimen,Drug, efavirenz containing antiretroviral regimen,4,4
NCT00162097,Drug: efavirenz containing antiretroviral regimen,Drug, efavirenz containing antiretroviral regimen,4,4
NCT00162123,Drug: Ipilimumab,Drug, Ipilimumab,1,1
NCT00162136,Drug: Ixabepilone,Drug, Ixabepilone,1,1
NCT00162266,Drug: Abatacept (BMS-188667),Drug, Abatacept (BMS-188667),4,4
NCT00162266,Drug: Abatacept (BMS-188667),Drug, Abatacept (BMS-188667),4,4
NCT00162266,Drug: Abatacept (BMS-188667),Drug, Abatacept (BMS-188667),4,4
NCT00162266,Drug: Placebo,Drug, Placebo,4,4
NCT00162981,Drug: Clobazam Low Dose,Drug, Clobazam Low Dose,2,2
NCT00162981,Drug: Clobazam High Dose,Drug, Clobazam High Dose,2,2
NCT00163020,Drug: 17-alpha-hydroxyprogesterone caproate injectable,Drug, 17-alpha-hydroxyprogesterone caproate injectable,2,2
NCT00163020,Drug: Placebo,Drug, Placebo,2,2
NCT00163189,Drug: Somatropin,Drug, Somatropin,1,1
NCT00163215,Drug: Somatropin,Drug, Somatropin,1,1
NCT00163293,Drug: Ciclesonide,Drug, Ciclesonide,3,3
NCT00163293,Drug: Ciclesonide,Drug, Ciclesonide,3,3
NCT00163293,Drug: Placebo,Drug, Placebo,3,3
NCT00165646,Drug: E3810,Drug, E3810,3,3
NCT00165646,Drug: E3810,Drug, E3810,3,3
NCT00165646,Drug: Placebo,Drug, Placebo,3,3
NCT00165672,Drug: RABEPRAZOLE SODIUM,Drug, RABEPRAZOLE SODIUM,2,2
NCT00165672,Drug: RABEPRAZOLE SODIUM,Drug, RABEPRAZOLE SODIUM,2,2
NCT00165698,Drug: menatetranone,Drug, menatetranone,2,2
NCT00165698,Drug: alfacalcidol,Drug, alfacalcidol,2,2
NCT00165776,Drug: BOTULINUM TOXIN TYPE B,Drug, BOTULINUM TOXIN TYPE B,1,1
NCT00165789,Drug: E2007,Drug, E2007,1,1
NCT00165841,Drug: Rabeprazole 20 mg,Drug, Rabeprazole 20 mg,1,1
NCT00166036,Drug: Atorvastatin,Drug, Atorvastatin,2,2
NCT00166036,Drug: Pravastatin,Drug, Pravastatin,2,2
NCT00166114,Drug: Escitalopram,Drug, Escitalopram,2,2
NCT00166114,Drug: Desipramine,Drug, Desipramine,2,2
NCT00166166,Drug: Tetraethylammonium (TEA),Drug, Tetraethylammonium (TEA),7,7
NCT00166166,Drug: L-NG-monomethyl Arginine (L-NMMA),Drug, L-NG-monomethyl Arginine (L-NMMA),7,7
NCT00166166,Drug: Bradykinin,Drug, Bradykinin,7,7
NCT00166166,Drug: Sodium nitroprusside,Drug, Sodium nitroprusside,7,7
NCT00166166,Drug: Acetylcholine,Drug, Acetylcholine,7,7
NCT00166166,Drug: Saline,Drug, Saline,7,7
NCT00166166,Drug: Fluconazole,Drug, Fluconazole,7,7
NCT00166296,Drug: Escitalopram,Drug, Escitalopram,2,2
NCT00166296,Drug: Placebo,Drug, Placebo,2,2
NCT00166504,Drug: ezetimibe (+) simvastatin,Drug, ezetimibe (+) simvastatin,2,2
NCT00166504,Drug: atorvastatin,Drug, atorvastatin,2,2
NCT00166712,Drug: Tacrolimus (TAC),Drug, Tacrolimus (TAC),4,4
NCT00166712,Drug: Sirolimus,Drug, Sirolimus,4,4
NCT00166712,Drug: Alemtuzumab,Drug, Alemtuzumab,4,4
NCT00166712,Drug: Mycophenolate mofetil (MMF),Drug, Mycophenolate mofetil (MMF),4,4
NCT00167102,Drug: Alefacept,Drug, Alefacept,1,1
NCT00167206,Procedure: Hematopoietic Stem Cell Transplant,Procedure, Hematopoietic Stem Cell Transplant,4,3
NCT00167206,Procedure: Thymic Shielding During Radiation,Procedure, Thymic Shielding During Radiation,4,3
NCT00167206,Procedure: Total Body Irradiation,Procedure, Total Body Irradiation,4,3
NCT00167206,"Drug: Cyclophosphamide, Fludarabine",Drug," Cyclophosphamide, Fludarabine",4,1
NCT00167245,Drug: Topiramate,Drug, Topiramate,2,2
NCT00167245,Drug: placebo,Drug, placebo,2,2
NCT00167544,Drug: Hydrocortisone,Drug, Hydrocortisone,2,2
NCT00167544,Drug: Placebo,Drug, Placebo,2,2
NCT00168064,Drug: mechlorethamine-MCH (nitrogen mustard),Drug, mechlorethamine-MCH (nitrogen mustard),1,1
NCT00168298,Drug: 700 µg Dexamethasone,Drug, 700 µg Dexamethasone,3,2
NCT00168298,Drug: 350 µg Dexamethasone,Drug, 350 µg Dexamethasone,3,2
NCT00168298,Other: Sham Injection,Other, Sham Injection,3,1
NCT00168324,Drug: 700 µg Dexamethasone,Drug, 700 µg Dexamethasone,3,2
NCT00168324,Drug: 350 µg Dexamethasone,Drug, 350 µg Dexamethasone,3,2
NCT00168324,Other: Sham Injection,Other, Sham Injection,3,1
NCT00168337,Drug: Dexamethasone,Drug, Dexamethasone,2,1
NCT00168337,Other: Sham,Other, Sham,2,1
NCT00168389,Drug: Dexamethasone,Drug, Dexamethasone,2,1
NCT00168389,Other: Sham,Other, Sham,2,1
NCT00168454,Biological: botulinum toxin Type A,Biological, botulinum toxin Type A,2,1
NCT00168454,Drug: Placebo,Drug, Placebo,2,1
NCT00168805,Drug: enoxaparin,Drug, enoxaparin,3,3
NCT00168805,Drug: dabigatran etexilate,Drug, dabigatran etexilate,3,3
NCT00168805,Drug: dabigatran etexilate,Drug, dabigatran etexilate,3,3
NCT00168818,Drug: dabigatran etexilate,Drug, dabigatran etexilate,3,3
NCT00168818,Drug: dabigatran etexilate,Drug, dabigatran etexilate,3,3
NCT00168818,Drug: enoxaparin,Drug, enoxaparin,3,3
NCT00168831,Drug: Tiotropium Inhalation Solution,Drug, Tiotropium Inhalation Solution,2,1
NCT00168831,Other: Placebo,Other, Placebo,2,1
NCT00168844,Drug: Tiotropium Inhalation Solution,Drug, Tiotropium Inhalation Solution,2,1
NCT00168844,Other: Placebo,Other, Placebo,2,1
NCT00170157,Drug: Combination Androgen Ablative Therapy,Drug, Combination Androgen Ablative Therapy,2,1
NCT00170157,Biological: MDX-010 therapy,Biological, MDX-010 therapy,2,1
NCT00170846,Drug: Everolimus (RAD001),Drug, Everolimus (RAD001),4,4
NCT00170846,Drug: Calcineurin Inhibitors (CNI),Drug, Calcineurin Inhibitors (CNI),4,4
NCT00170846,Drug: Mycophenolate acid (MPA)/Azathioprine (AZA),Drug, Mycophenolate acid (MPA)/Azathioprine (AZA),4,4
NCT00170846,Drug: Steroids,Drug, Steroids,4,4
NCT00170950,Drug: Benazepril/amlodipine 20/5 mg - Dose Level 1 from Day 1 to Month 1,Drug, Benazepril/amlodipine 20/5 mg - Dose Level 1 from Day 1 to Month 1,6,6
NCT00170950,Drug: Benazepril/amlodipine 40/5 mg - Dose Level 2 from Month 1 to Month 2,Drug, Benazepril/amlodipine 40/5 mg - Dose Level 2 from Month 1 to Month 2,6,6
NCT00170950,Drug: Benazepril/amlodipine 40/10 mg - Dose Level 3 from Month 2 to Month 3 and thereafter,Drug, Benazepril/amlodipine 40/10 mg - Dose Level 3 from Month 2 to Month 3 and thereafter,6,6
NCT00170950,Drug: Benazepril/hydrochlorothiazide 20/12.5 mg - Dose Level 1 from Day 1 to Month 1,Drug, Benazepril/hydrochlorothiazide 20/12.5 mg - Dose Level 1 from Day 1 to Month 1,6,6
NCT00170950,Drug: Benazepril/hydrochlorothiazide 40/12.5 mg - Dose Level 2 from Month 1 to Month 2,Drug, Benazepril/hydrochlorothiazide 40/12.5 mg - Dose Level 2 from Month 1 to Month 2,6,6
NCT00170950,Drug: Benazepril/hydrochlorothiazide 40/25 mg - Dose Level 3 from Month 2 to Month 3 and thereafter,Drug, Benazepril/hydrochlorothiazide 40/25 mg - Dose Level 3 from Month 2 to Month 3 and thereafter,6,6
NCT00171054,Drug: Valsartan 320 mg,Drug, Valsartan 320 mg,3,3
NCT00171054,Drug: Amlodipine 10 mg,Drug, Amlodipine 10 mg,3,3
NCT00171054,Drug: Hydrochlorothiazide,Drug, Hydrochlorothiazide,3,3
NCT00171210,Drug: Deferasirox,Drug, Deferasirox,1,1
NCT00171301,Drug: Deferasirox,Drug, Deferasirox,1,1
NCT00171314,Drug: Zoledronic acid,Drug, Zoledronic acid,2,2
NCT00171314,Drug: Letrozole,Drug, Letrozole,2,2
NCT00171340,Drug: Zoledronic acid,Drug, Zoledronic acid,2,2
NCT00171340,Drug: Letrozole,Drug, Letrozole,2,2
NCT00171704,Drug: Letrozole,Drug, Letrozole,2,2
NCT00171704,Drug: Tamoxifen,Drug, Tamoxifen,2,2
NCT00171834,Drug: Patupilone,Drug, Patupilone,1,1
NCT00171873,Drug: Octreotide LAR (Long-acting release),Drug, Octreotide LAR (Long-acting release),2,2
NCT00171873,Drug: Placebo,Drug, Placebo,2,2
NCT00171925,Drug: Zoledronic acid,Drug, Zoledronic acid,2,1
NCT00171925,Dietary Supplement: Calcium / Vitamin D,Dietary Supplement, Calcium / Vitamin D,2,1
NCT00172042,Drug: Zoledronic acid 4 mg,Drug, Zoledronic acid 4 mg,1,1
NCT00172185,Drug: teduglutide 0.05 mg/kg/d,Drug, teduglutide 0.05 mg/kg/d,2,2
NCT00172185,Drug: teduglutide 0.10 mg/kg/d,Drug, teduglutide 0.10 mg/kg/d,2,2
NCT00174187,Drug: Somatropin,Drug, Somatropin,1,1
NCT00174252,Drug: Genotonorm (Somatropin),Drug, Genotonorm (Somatropin),1,1
NCT00174265,Drug: asenapine,Drug, asenapine,2,2
NCT00174265,Drug: olanzapine,Drug, olanzapine,2,2
NCT00174291,Drug: Somatropin,Drug, Somatropin,1,1
NCT00174382,Drug: Donepezil,Drug, Donepezil,1,1
NCT00174447,Drug: Ziprasidone,Drug, Ziprasidone,1,1
NCT00174460,Drug: Somatropin,Drug, Somatropin,2,1
NCT00174460,Other: Control Arm,Other, Control Arm,2,1
NCT00174785,Drug: dronedarone (SR33589),Drug, dronedarone (SR33589),2,2
NCT00174785,Drug: placebo,Drug, placebo,2,2
NCT00174915,Drug: Febuxostat,Drug, Febuxostat,5,5
NCT00174915,Drug: Febuxostat,Drug, Febuxostat,5,5
NCT00174915,Drug: Febuxostat,Drug, Febuxostat,5,5
NCT00174915,Drug: Allopurinol,Drug, Allopurinol,5,5
NCT00174915,Drug: Placebo,Drug, Placebo,5,5
NCT00174941,Drug: Febuxostat,Drug, Febuxostat,3,3
NCT00174941,Drug: Febuxostat,Drug, Febuxostat,3,3
NCT00174941,Drug: Febuxostat,Drug, Febuxostat,3,3
NCT00174967,Drug: Placebo,Drug, Placebo,4,4
NCT00174967,Drug: Febuxostat,Drug, Febuxostat,4,4
NCT00174967,Drug: Febuxostat,Drug, Febuxostat,4,4
NCT00174967,Drug: Febuxostat,Drug, Febuxostat,4,4
NCT00175019,Drug: Febuxostat,Drug, Febuxostat,3,3
NCT00175019,Drug: Febuxostat,Drug, Febuxostat,3,3
